order_id,customer_id,product_id,quantity,status,order_date,delivery_date,total_amount
O0001,C096,P042,2,Shipped,2026-07-10,2026-07-13,440
O0002,C115,P036,3,Delivered,2026-07-17,2026-07-22,135
O0003,C066,P038,2,Shipped,2026-07-24,2026-07-27,36
O0004,C081,P032,1,Delivered,2026-07-04,2026-07-07,50
O0005,C049,P011,3,Delivered,2026-07-28,2026-08-02,1500
O0006,C111,P039,2,Shipped,2026-08-03,2026-08-09,220
O0007,C097,P001,3,Delivered,2026-07-08,2026-07-14,2550
O0008,C056,P018,3,Processing,2026-07-22,,1770
O0009,C113,P011,2,Cancelled,2026-07-01,,1000
O0010,C117,P047,2,Delivered,2026-08-02,2026-08-08,1300
O0011,C078,P007,3,Delivered,2026-07-20,2026-07-26,2940
O0012,C100,P013,1,Delivered,2026-07-24,2026-07-30,750
O0013,C015,P034,1,Shipped,2026-08-08,2026-08-10,25
O0014,C113,P024,2,Processing,2026-07-16,,360
O0015,C098,P037,1,Delivered,2026-07-06,2026-07-08,60
O0016,C022,P035,1,Delivered,2026-07-09,2026-07-15,90
O0017,C119,P017,3,Shipped,2026-08-08,2026-08-11,1020
O0018,C052,P035,3,Shipped,2026-08-14,2026-08-18,270
O0019,C058,P043,3,Shipped,2026-07-24,2026-07-30,1140
O0020,C003,P008,1,Processing,2026-07-15,,1450
O0021,C010,P038,3,Delivered,2026-07-15,2026-07-17,54
O0022,C111,P046,3,Shipped,2026-07-04,2026-07-06,360
O0023,C063,P022,1,Shipped,2026-08-02,2026-08-09,150
O0024,C074,P014,3,Delivered,2026-07-09,2026-07-15,1260
O0025,C013,P031,1,Delivered,2026-07-31,2026-08-03,35
O0026,C060,P007,3,Shipped,2026-07-28,2026-08-02,2940
O0027,C013,P047,1,Delivered,2026-08-13,2026-08-20,650
O0028,C032,P004,2,Delivered,2026-07-22,2026-07-24,1040
O0029,C024,P013,1,Shipped,2026-08-04,2026-08-09,750
O0030,C057,P018,2,Delivered,2026-07-16,2026-07-18,1180
O0031,C108,P036,1,Delivered,2026-07-04,2026-07-10,45
O0032,C063,P001,1,Processing,2026-07-16,,850
O0033,C049,P031,1,Delivered,2026-07-26,2026-07-29,35
O0034,C037,P001,2,Delivered,2026-07-17,2026-07-22,1700
O0035,C020,P028,3,Delivered,2026-08-05,2026-08-10,330
O0036,C075,P013,2,Cancelled,2026-07-14,,1500
O0037,C007,P048,3,Delivered,2026-07-04,2026-07-06,630
O0038,C021,P038,2,Delivered,2026-08-02,2026-08-08,36
O0039,C077,P004,3,Delivered,2026-07-06,2026-07-08,1560
O0040,C032,P005,3,Shipped,2026-07-16,2026-07-22,3750
O0041,C085,P038,3,Delivered,2026-07-03,2026-07-08,54
O0042,C027,P038,3,Shipped,2026-08-03,2026-08-07,54
O0043,C017,P043,3,Shipped,2026-07-21,2026-07-26,1140
O0044,C002,P043,3,Delivered,2026-07-20,2026-07-22,1140
O0045,C010,P030,3,Cancelled,2026-08-06,,420
